student_code,Course,Section,Year,YearSub,school_code
201260146,366310,4,2018,2017,61
200660280,430000,2,2018,2017,62
201660096,200310,1,2018,2017,60
201660036,222310,3,2018,2017,60
200960007,43000R,1,2018,2017,62
201660019,222310,3,2018,2017,60
201760053,222310,1,2018,2017,60
201560150,244310,1,2018,2017,60
201060041,388310,3,2018,2017,61
201160122,377310,1,2018,2017,61
201760168,200310,3,2018,2017,60
200760172,972300,1,2018,2017,62
201060061,388310,1,2018,2017,61
201360004,355310,1,2018,2017,61
201160129,244310,2,2018,2017,60
200560222,972300,1,2018,2017,62
200760110,433000,1,2018,2017,62
201160045,377310,2,2018,2017,61
201760023,211310,2,2018,2017,60
201260137,366310,1,2018,2017,61
201560079,244310,2,2018,2017,60
201761011,366310,3,2018,2017,61
200760122,43100P,1,2018,2017,62
201460058,244310,2,2018,2017,60
201660026,222310,3,2018,2017,60
201660069,244310,1,2018,2017,60
201260169,430000,1,2018,2017,61
201360003,355310,3,2018,2017,61
200660176,430000,1,2018,2017,62
201760057,211310,2,2018,2017,60
201660039,222310,4,2018,2017,60
200660146,432000,3,2018,2017,62
201761055,366310,3,2018,2017,61
201761053,355310,1,2018,2017,61
201560070,366310,1,2018,2017,61
200660036,433000,1,2018,2017,62
201461005,43100P,1,2018,2017,62
201760017,211310,3,2018,2017,60
201361033,972300,4,2018,2017,62
200660071,439070,2,2018,2017,62
200760244,430000,2,2018,2017,62
201760145,244310,3,2018,2017,60
201760013,211310,2,2018,2017,60
201060040,388310,3,2018,2017,61
201760074,222310,1,2018,2017,60
201660087,222310,3,2018,2017,60
200660019,435000,1,2018,2017,62
201260161,43100R,2,2018,2017,62
200660170,431000,1,2018,2017,62
201160062,377311,1,2018,2017,61
200660326,432000,2,2018,2017,62
200660295,433000,1,2018,2017,62
201561043,431000,1,2018,2017,62
201761003,377310,3,2018,2017,61
200760109,43100R,2,2018,2017,62
201261036,432000,3,2018,2017,62
200960038,43000P,1,2018,2017,62
201361010,431000,2,2018,2017,62
201660048,222310,4,2018,2017,60
200960074,431000,3,2018,2017,62
201660071,233310,4,2018,2017,60
201361019,432000,2,2018,2017,62
200960116,244310,4,2018,2017,60
200760128,431000,1,2018,2017,62
